алгоритм,размер,процессы,узлы,время,проверка
band,240,1,1,0.031281,YES
band,240,2,1,0.016316,YES
band,240,2,2,0.013132,YES
band,240,4,1,0.007005,YES
band,240,4,2,0.006648,YES
band,240,4,4,0.007072,YES
band,240,8,1,0.008429,YES
band,240,8,2,0.003293,YES
band,240,8,4,0.003319,YES
band,240,16,1,0.004482,YES
band,240,16,2,0.004392,YES
band,240,16,4,0.001896,YES
band,480,1,1,0.300513,YES
band,480,2,1,0.155863,YES
band,480,2,2,0.157748,YES
band,480,4,1,0.078372,YES
band,480,4,2,0.077176,YES
band,480,4,4,0.078629,YES
band,480,8,1,0.044987,YES
band,480,8,2,0.039932,YES
band,480,8,4,0.037763,YES
band,480,16,1,0.151545,YES
band,480,16,2,0.021939,YES
band,480,16,4,0.020596,YES
band,720,1,1,0.939692,YES
band,720,2,1,0.473780,YES
band,720,2,2,0.473575,YES
band,720,4,1,0.895589,YES
band,720,4,2,0.236886,YES
band,720,4,4,0.243226,YES
band,720,8,1,0.480412,YES
band,720,8,2,0.446259,YES
band,720,8,4,0.497988,YES
band,720,16,1,0.383494,YES
band,720,16,2,0.252686,YES
band,720,16,4,0.384225,YES
band,960,1,1,2.481302,YES
band,960,2,1,1.269114,YES
band,960,2,2,1.330849,YES
band,960,4,1,0.828426,YES
band,960,4,2,0.698659,YES
band,960,4,4,0.665919,YES
band,960,8,1,0.823501,YES
band,960,8,2,0.432773,YES
band,960,8,4,0.349195,YES
band,960,16,1,0.850347,YES
band,960,16,2,0.424365,YES
band,960,16,4,0.217030,YES
summa,240,1,1,0.031902,YES
summa,240,2,1,ERROR,ERROR
summa,240,2,2,ERROR,ERROR
summa,240,4,1,0.011558,YES
summa,240,4,2,0.022691,YES
summa,240,4,4,0.037195,YES
summa,240,8,1,ERROR,ERROR
summa,240,8,2,ERROR,ERROR
summa,240,8,4,ERROR,ERROR
summa,240,16,1,0.002983,YES
summa,240,16,2,1.063229,YES
summa,240,16,4,0.082322,YES
summa,480,1,1,0.296700,YES
summa,480,2,1,ERROR,ERROR
summa,480,2,2,ERROR,ERROR
summa,480,4,1,0.054447,YES
summa,480,4,2,0.121461,YES
summa,480,4,4,0.162195,YES
summa,480,8,1,ERROR,ERROR
summa,480,8,2,ERROR,ERROR
summa,480,8,4,ERROR,ERROR
summa,480,16,1,0.022123,YES
summa,480,16,2,0.062148,YES
summa,480,16,4,0.085186,YES
summa,720,1,1,0.970332,YES
summa,720,2,1,ERROR,ERROR
summa,720,2,2,ERROR,ERROR
summa,720,4,1,0.176494,YES
summa,720,4,2,0.233044,YES
summa,720,4,4,0.279129,YES
summa,720,8,1,ERROR,ERROR
summa,720,8,2,ERROR,ERROR
summa,720,8,4,ERROR,ERROR
summa,720,16,1,0.080168,YES
summa,720,16,2,0.137693,YES
summa,720,16,4,0.171943,YES
summa,960,1,1,2.558119,YES
summa,960,2,1,ERROR,ERROR
summa,960,2,2,ERROR,ERROR
summa,960,4,1,
0.536022,
NO
summa,960,4,2,0.681913,YES
summa,960,4,4,0.735431,YES
summa,960,8,1,ERROR,ERROR
summa,960,8,2,ERROR,ERROR
summa,960,8,4,ERROR,ERROR
summa,960,16,1,
0.279011,
NO
summa,960,16,2,
0.322818,
NO
summa,960,16,4,0.286690,YES
