processes,total_compute,bytes_per_second,ratio,compute_per_process,comm_size,parallel_time,speedup,efficiency
16,2.00,1000,2000.000000,0.1250,125,0.6328,15.80,98.8
8,2.00,1000000,2.000000,0.2500,250000,1.2526,7.98,99.8
8,2.00,1000,2000.000000,0.2500,250,1.2524,7.98,99.8
4,2.00,1000,2000.000000,0.5000,500,2.5009,4.00,100.0
4,2.00,1000000,2.000000,0.5000,500000,2.5040,3.99,99.8
16,2.00,1000000,2.000000,0.1250,125000,0.6338,15.78,98.6
2,2.00,1000,2000.000000,1.0000,1000,5.0009,2.00,100.0
2,2.00,1000000,2.000000,1.0000,1000000,5.0043,2.00,99.9
8,2.00,1000000000,0.002000,0.2500,250000000,3.4266,2.92,36.5
16,2.00,1000000000,0.002000,0.1250,125000000,2.5367,3.94,24.6
8,2.00,1000000,2.000000,0.2500,250000,1.2526,7.98,99.8
4,2.00,1000000000,0.002000,0.5000,500000000,4.9439,2.02,50.6
1,2.00,1000,2000.000000,2.0000,2000,10.0008,1.00,100.0
1,2.00,1000000,2.000000,2.0000,2000000,10.0045,1.00,100.0
8,2.00,1000000,2.000000,0.2500,250000,1.3701,7.30,91.2
2,2.00,1000000000,0.002000,1.0000,1000000000,8.6253,1.16,58.0
1,2.00,1000000000,0.002000,2.0000,2000000000,12.4168,0.81,80.5
8,2.00,1000000,2.000000,0.2500,250000,2.5039,7.99,99.8
8,2.00,1000000,2.000000,0.2500,250000,2.6701,7.49,93.6
8,2.00,1000000,2.000000,0.2500,250000,2.5040,7.99,99.8
16,2.00,1000000,2.000000,0.1250,125000,0.6361,15.72,98.2
8,2.00,5,400000.000000,0.2500,8,1.2512,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2511,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2513,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2511,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2511,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2511,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2512,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2513,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2511,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2511,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2513,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2511,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2512,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2512,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2513,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2512,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2512,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2511,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2511,7.99,99.9
8,2.00,5,400000.000000,0.2500,8,1.2512,7.99,99.9
