operation,data_size,processes,mpi_time,my_time,ratio
Bcast,1,4,0.000120,0.000060,2.01
Bcast,10,4,0.000055,0.000071,0.78
Bcast,100,4,0.000188,0.000325,0.58
Bcast,1000,4,0.001118,0.001407,0.80
Bcast,10000,4,0.003371,0.006040,0.56
Reduce,1,4,0.000177,0.000149,1.18
Reduce,10,4,0.000132,0.000106,1.25
Reduce,100,4,0.000252,0.000219,1.15
Reduce,1000,4,0.001576,0.001359,1.16
Reduce,10000,4,0.008358,0.008328,1.00
Scatter,1,4,0.000054,0.000083,0.64
Scatter,10,4,0.000070,0.000062,1.13
Scatter,100,4,0.000252,0.000285,0.88
Scatter,1000,4,0.001137,0.001107,1.03
Scatter,10000,4,0.004039,0.004760,0.85
Gather,1,4,0.000090,0.000081,1.11
Gather,10,4,0.000098,0.000107,0.91
Gather,100,4,0.000171,0.000191,0.89
Gather,1000,4,0.001012,0.000992,1.02
Gather,10000,4,0.006057,0.005839,1.04
Allgather,1,4,0.000138,0.000166,0.84
Allgather,10,4,0.000162,0.000353,0.46
Allgather,100,4,0.000286,0.000568,0.50
Allgather,1000,4,0.001942,0.003302,0.59
Allgather,10000,4,0.012535,0.023064,0.54
Allreduce,1,4,0.000150,0.000210,0.71
Allreduce,10,4,0.000164,0.000245,0.67
Allreduce,100,4,0.000346,0.000589,0.59
Allreduce,1000,4,0.001880,0.002414,0.78
Allreduce,10000,4,0.008523,0.013377,0.64
Bcast,1,8,0.000135,0.034237,0.00
Bcast,10,8,0.000366,0.001328,0.28
Bcast,100,8,0.000932,0.003160,0.29
Bcast,1000,8,0.083290,0.033020,2.52
Bcast,10000,8,0.680931,1.287230,0.53
Reduce,1,8,0.005781,0.006223,0.93
Reduce,10,8,0.007277,0.006049,1.20
Reduce,100,8,0.016078,0.013081,1.23
Reduce,1000,8,0.109163,0.034801,3.14
Reduce,10000,8,0.689264,0.622644,1.11
Scatter,1,8,0.000367,0.001059,0.35
Scatter,10,8,0.000307,0.001266,0.24
Scatter,100,8,0.001445,0.003117,0.46
Scatter,1000,8,0.170723,0.038140,4.48
Scatter,10000,8,0.633304,1.285042,0.49
Gather,1,8,0.001086,0.006427,0.17
Gather,10,8,0.006960,0.012916,0.54
Gather,100,8,0.016976,0.016956,1.00
Gather,1000,8,0.088884,0.110007,0.81
Gather,10000,8,0.683206,2.463555,0.28
Allgather,1,8,0.287483,0.569891,0.50
Allgather,10,8,0.311746,0.592903,0.53
Allgather,100,8,0.354658,0.651287,0.54
Allgather,1000,8,0.791373,1.280056,0.62
Allgather,10000,8,2.936687,4.814252,0.61
Allreduce,1,8,0.283808,0.566832,0.50
Allreduce,10,8,0.292643,0.563784,0.52
Allreduce,100,8,0.302237,0.581174,0.52
Allreduce,1000,8,0.390143,0.696035,0.56
Allreduce,10000,8,0.882558,2.193089,0.40
Bcast,1,16,0.012659,0.111989,0.11
Bcast,10,16,0.001079,0.011856,0.09
Bcast,100,16,0.002089,0.007707,0.27
Bcast,1000,16,0.232967,0.274568,0.85
Bcast,10000,16,1.016720,4.354304,0.23
Reduce,1,16,0.035355,0.021675,1.63
Reduce,10,16,0.024522,0.013063,1.88
Reduce,100,16,0.067563,0.038881,1.74
Reduce,1000,16,0.134462,0.142278,0.95
Reduce,10000,16,1.096232,1.537744,0.71
Scatter,1,16,0.000625,0.003413,0.18
Scatter,10,16,0.000708,0.004433,0.16
Scatter,100,16,0.046554,0.008019,5.81
Scatter,1000,16,0.601470,0.267265,2.25
Scatter,10000,16,1.533806,3.938735,0.39
Gather,1,16,0.013222,0.010943,1.21
Gather,10,16,0.018733,0.013819,1.36
Gather,100,16,0.051702,0.040055,1.29
Gather,1000,16,0.577945,0.389436,1.48
Gather,10000,16,1.789984,7.458297,0.24
Allgather,1,16,0.611650,0.593536,1.03
Allgather,10,16,0.621119,0.637812,0.97
Allgather,100,16,0.832907,0.974403,0.85
Allgather,1000,16,4.878467,4.469897,1.09
Allgather,10000,16,7.131436,19.174591,0.37
Allreduce,1,16,0.631235,0.889961,0.71
Allreduce,10,16,0.612530,0.905137,0.68
Allreduce,100,16,0.621324,0.917411,0.68
Allreduce,1000,16,1.243530,1.326161,0.94
Allreduce,10000,16,1.893662,5.320705,0.36
